﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},非常に{0}
ACTION_HAPPENING,I can't do two things at once...,二つのことは同時にできない・・・
ADD_TO_BLUEPRINT,Add {0} to {1},{0}を{1}に足す
A_FEW,a few {0},いくつかの{0}
BY_AUTHOR,By {0},{0}著
AVAILABLE,Available,購入可能
LESS_THAN_SUBTLE_FLAVOUR,Barely {0},ギリギリ{0}
BLUEPRINT,Blueprint,設計図
BLUEPRINT_FULL,{1} already has enough of {0},{1}にこれ以上{0}は必要ない
BLUEPRINT_RESEARCH_TAB,Research,リサーチ
BLUEPRINT_SHOP,Shop,ショップ
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,新しい設計図をアンロックした！
BOOKMARK_NOT_FOUND,There is no {0} here,ここに{0}はない。
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0}({1})
BOTH_HANDS,Both Hands,両手
BOTH_ORGANS,Male and female sexual organs.,男女の生殖器
BUILD,Build,建築する
BUILT,Built,建築済み
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,{0}日間の生存おめでとう！
CANCEL,Cancel,キャンセル
CANNOT_AFFORD,Not enough {0} to buy this...,これを買うには{0}が足りない・・・
CANNOT_BE_TAKEN_OUT,{0} can't be taken out of {1},{1}から{0}を取り除くことはできない
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},{0}の{1}以上装備できない。
CANNOT_EQUIP_PINS,Pins cannot be equipped!,ピンは装備できない！
CANNOT_INSPECT,Take item out of container to inspect.,確認するには、容器から出してみよう。
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,ここで{0}は作れない・・・
CANNOT_TAKE_MORE,Cannot take more {0} from {1},これ以上{1}から{0}を取れない
CARD_INFO,Info,詳細
CHARACTER,Character,キャラクター
CHARACTER_CREATOR,Create New Character,新しいキャラクターを作る
CHECKPOINT_MODE,Checkpoint Mode,チェックポイントモード
CLEAR_CARD_FILTERS,Clear Filters,フィルターをリセットする
COMPLETED_QUESTS,Completed,完了
CONFIRM,Confirm,確認する
CONFIRM_RESEARCH_SWITCH,"Currently researching {0}.\nSwitch research to {1}?\n(You will keep research progress on {0})","現在{0}をリサーチ中。\n{1}のリサーチに変更する？\n({0}のリサーチプログレスは残ります。)"
CONFIRM_LOAD,Do you want to load this checkpoint?,このチェックポイントをロードする？
CONFIRM_SAVE,Do you want to overwrite this checkpoint?,このチェックポイントを上書きする？
CONSTRUCTION,Construction,建築
INVENTORY_CONTENT,Contents,内容
COOKING_READY,Done,できた！
COOKING_TIME_TEXT,Ready in {0},完成まで{0}
CURRENT_STATUS,Current Status,現在のステータス
CUSTOM_CHARACTERS,Custom Characters,カスタムキャラクター
CUSTOM_CHECKPOINT,Custom checkpoint,カスタムチェックポイント
CUSTOM_PORTRAIT_COUNT,"Default portrait resolution is 344x446\n{0}/{1} portraits saved","画像のデフォルトサイズは344x446です。\n登録済みの数{0}/{1}。"
DAMAGES,Damages,ダメージ
A_DAY,a day,１日
DAY_COUNTER,Day {0},{0}日目
FORMAT_DAYS,0D,0D
DAYS,days,日
DAYS_SURVIVED,You survived for {0} days.,{0}日間生き残った。
DEFAULT,Default,デフォルト
DEFAULT_CHARACTER,Default Character,デフォルトキャラクター
COOKING_SLOT,DRAG ITEMS HERE TO COOK,料理をするには、アイテムをここにドラッグする
EMPTY_RECIPE_SLOT,COME BACK LATER,また後で来よう
ENCOUNTER_ENEMY_GETTING_CLOSE,{0} is approaching you.,{0}が近づいてる。
DEFAULT_ENCOUNTER_ENEMY_NAME,Enemy,敵
FUEL_DEFAULT_NAME,Fuel,燃料
FUEL_FULL,{0} is full,{0}は燃料満タン
FUEL_ZERO,{0} ran out of fuel,{0}の燃料が切れた
INVENTORY_SLOT,DRAG ITEMS HERE,アイテムをここにドラッグする
LIQUID_DEFAULT_NAME,Quantity,量
PROGRESS_DEFAULT_NAME,Progress,プログレス
PROGRESS_FULL,{0} is complete,{0}完了！
PROGRESS_ZERO,{0} ran out of uses,{0}を使い果たした。
SPOILAGE_DEFAULT_NAME,Spoilage,腐敗物
SPOILAGE_FULL,{0} is good as new,{0}は新品同様だ。
SPOILAGE_ZERO,{0} spoiled,{0}が腐った
SPECIAL1_DEFAULT_NAME,Value 1,ASKDEV
SPECIAL2_DEFAULT_NAME,Value 2,ASKDEV
SPECIAL3_DEFAULT_NAME,Value 3,ASKDEV
SPECIAL4_DEFAULT_NAME,Value 4,ASKDEV
USAGE_DEFAULT_NAME,Durability,耐久性
USAGE_FULL,{0} is good as new,{0}は新品同様だ。
USAGE_ZERO,{0} broke,{0}が壊れた
DEMO_OVER,END OF FIRST DAYS,最初の日終了！
DIFFICULTY_SCORE,Difficulty: {0}pts,難易度：{0}ポイント
DISCARD_ACTION_DESC,Permanently get rid of this object.,このオブジェクトを破棄する。
DISCARD_ACTION_TITLE,Discard,破棄
DISMANTLE_DESC,Collect all items and revert to previous building stage.,全てのアイテムを集めて、前のステージに戻る。
DISMANTLE_DESC_FIRST_STEP,Collect all items and destroy building.,全てのアイテムを集めて、建物を破壊する。
DO_STACK_ACTION,Do x{0},x{0}をする。
DURATION,Duration,待ち時間
EAST,East,東
EMPTY,Empty,空っぽ
EQUIP_CARD,Equip {0},{0}を装備する
EQUIP_BOTH_HAND,Equip in Both Hands,両手に装備する
EQUIP_MAIN_HAND,Equip in Main Hand,利き手に装備する
EQUIP_OFF_HAND,Equip in Off Hand,反対の手に装備する
EQUIPMENT,Equipment,道具
EVENT_TITLE,EVENT,イベント
EXPLORATION,Exploration,探検
EXPLORED,Explored,探検済み
EXPLORING,Exploring,探検中
FEMALE_ORGANS,Female sexual organs.,女性器
FILL_WITH_LIQUID,Fill {0} with {1},{0}に{1}を入れる
FINISHED_COOKING,{0} finished cooking {1},{0}は、{1}を料理した
FINISHED_COOKING_EMPTY,{0} is ready,{0}ができた
GAME_OVER,GAME OVER,ゲームオーバー
GIVE_CHASE,Give chase,追い掛ける
PLACEHOLDER_DISCLAIMER,"{0}\n\n<b>-The text above is a placeholder-</b>","{0}\n\n<b>—上記の文はプレースホルダーです。—</b>"
HOLD_FOR_ACTION,Hold for action...,長押しでアクションする・・・
HOLD,Hold,長押し
HOPE_GOOD_TIME,We hope you had a good time!,プレイして頂きありがとうございます！
AN_HOUR,an hour,１時間
HELP_TAB,Help,ヘルプ
FORMAT_HOURS,0h,0時間
HOURS,hours,時間
HOVER,Hover,ホバー
IMPORT_PORTRAIT,Import Custom Portrait,カスタム画像をインポートする
IMPOSSIBLE_ACTION,I can't do this now...,今は無理だ・・・
IMPROVEMENT_DESC,{0} on a card for info,情報を確認するには、カードに{0}しよう
IMPROVEMENTS,Improvements,アップグレード
INTERACTION,Interaction,調べる
INSPECTION_TITLE,DETAILS,情報
INVENTORY_CANNOT_CARRY,{0} doesn't have room for this...,{0}にはもう何も入らない・・・
INVENTORY_FULL,{0} inventory full,{0} これ以上持てない
IS_NOT_EQUIPMENT,{0} is not equippable,{0}は装備できない
JOURNAL_SUBTITLE_NAME,"The {0} tale of {2}\n({1})","{0}の{2}物語\n({1})"
LAST_DAY_CHECKPOINT,Restart day,１日をリスタートする
LAST_SEASON_CHECKPOINT,Restart season,季節をリスタートする
LAST_WEEK_CHECKPOINT,Restart week,週をリスタートする
LAST_YEAR_CHECKPOINT,Restart year,年をリスタートする
LESS_THAN,less than {0},{0}未満
LIQUID_AUTO_FILLING,Filling with {0},{0}を入れてる途中
LIQUID_CONTAINER_EMPTY,{0} is empty,{0}は空っぽ
LIQUID_TRANSFER,Transfer Liquid,液体を移す
LOAD,Load,ロード
LOADING,LOADING,ロード中
MANY,many {0},多くの{0}
MAIN_HAND,Main Hand,利き手
MALE_ORGANS,Male sexual organs.,男性器
MEDIUM_FLAVOUR,Moderately {0},少し{0}
FORMAT_MINUTES,0min,0分
MINUTES,minutes,分
MISSING_CARD_INHAND,Missing {0} in hand,手札に{0}がない
MISSING_CARD_ONBOARD,Missing {0},{0}がない
MORE_THAN,more than {0},{0}より上
MOVE_ITEM_TO_LOCATION,Move {0} to {1},{0}を{1}に移す
NEW_BLUEPRINT,New Blueprint,新しい設計図
NEW_DAMAGE,Something got damaged!,何かに傷がついた！
NEW_IMPROVEMENT,New Improvement,新しいアップグレード
NO_DAMAGES,No Damages To Repair,修理する必要はない
NO_IMPROVEMENTS,No Improvements Unlocked,アンロックしたアップグレードはない
NONE,None,なし
NORTH,North,北
OFF_HAND,Off Hand,反対の手
OFFICIAL_CHARACTERS,Premade Characters,既製キャラクター
ONGOING_QUESTS,Ongoing,途中
ON_GROUND,On Ground,地上
PAUSED,Paused,ポーズ中
PICKUP_BOTH_HAND,Pick up in Both Hands,両手で拾う
PICKUP_MAIN_HAND,Pick up in Main Hand,利き手で拾う
PICKUP_OFF_HAND,Pick up in Off Hand,反対の手で拾う
ENCOUNTER_AND,... and {0},…{0}
ENCOUNTER_BUT,... but {0},…{0}
PLAYER_CANNOT_CARRY,This is more than I can carry...,全部持てない・・・
REALISTIC_MODE,Realistic Mode,リアルモード
RESEARCH,Research,リサーチ
RESEARCHING,Researching...,リサーチ中・・・
RESUME,Resume,再開
SAFE_MODE,Safe Mode,セーフモード
SAVE,Save,セーブ
