﻿MORE_THAN_STRONG_FLAVOUR,Extremely {0},Чрезвычайно {0}
ACTION_HAPPENING,I can't do two things at once...,Я не могу делать две вещи одновременно...
ADD_TO_BLUEPRINT,Add {0} to {1},Добавить {0} в {1}
A_FEW,a few {0},несколько {0}
BY_AUTHOR,By {0},К {0}
AVAILABLE,Available,Доступно
LESS_THAN_SUBTLE_FLAVOUR,Barely {0},Едва {0}
BLUEPRINT,Blueprint,Чертеж
BLUEPRINT_FULL,{1} already has enough of {0},{1} уже имеет достаточно {0}
BLUEPRINT_RESEARCH_TAB,Research,Исследование
BLUEPRINT_SHOP,Shop,Магазин
BLUEPRINT_UNLOCKED,New Blueprint Unlocked!,Новый Чертеж Разблокирован!
BOOKMARK_NOT_FOUND,There is no {0} here,Здесь нет {0}
BOOKMARK_TITLE_WITH_LIQUID,{0} ({1}),{0} ({1})
BOTH_HANDS,Both Hands,Обе Руки
BOTH_ORGANS,Male and female sexual organs.,Мужские и женские половые органы.
BUILD,Build,Строить
BUILT,Built,Построено
BUY_TO_CONTINUE,Congratulations on surviving for {0} days!,Поздравляем с выживанием в течение {0} дней!
CANCEL,Cancel,Отмена
CANNOT_AFFORD,Not enough {0} to buy this...,Недостаточно {0} для покупки этого...
CANNOT_BE_TAKEN_OUT,{0} can't be taken out of {1},{0} нельзя вынуть из {1}
CANNOT_EQUIP_MORE,Cannot equip more than {0} {1},Нельзя экипировать более {0} {1}
CANNOT_EQUIP_PINS,Pins cannot be equipped!,Булавки нельзя экипировать!
CANNOT_INSPECT,Take item out of container to inspect.,Выньте предмет из контейнера для осмотра.
CANNOT_MAKE_BLUEPRINT,{0} cannot be made here...,{0} нельзя сделать здесь...
CANNOT_TAKE_MORE,Cannot take more {0} from {1},Нельзя взять больше {0} из {1}
CARD_INFO,Info,Информация
CHARACTER,Character,Персонаж
CHARACTER_CREATOR,Create New Character,Создать Нового Персонажа
CHECKPOINT_MODE,Checkpoint Mode,Режим Контрольной Точки
